Found 16418 images belonging to 120 classes.
Found 4162 images belonging to 120 classes.
Epoch 1/10
513/513 [==============================] - 7640s 15s/step - loss: 1.5588 - accuracy: 0.5751 - val_loss: 0.1583 - val_accuracy: 0.7591
Epoch 2/10
513/513 [==============================] - 7926s 15s/step - loss: 0.8200 - accuracy: 0.7461 - val_loss: 1.4712 - val_accuracy: 0.7695
Epoch 3/10
513/513 [==============================] - 7749s 15s/step - loss: 0.6747 - accuracy: 0.7905 - val_loss: 0.7954 - val_accuracy: 0.8010
Epoch 4/10
513/513 [==============================] - 7741s 15s/step - loss: 0.5819 - accuracy: 0.8170 - val_loss: 0.4821 - val_accuracy: 0.8056
Epoch 5/10
513/513 [==============================] - 7756s 15s/step - loss: 0.5389 - accuracy: 0.8302 - val_loss: 1.2093 - val_accuracy: 0.7978
Epoch 6/10
513/513 [==============================] - 7440s 15s/step - loss: 0.5077 - accuracy: 0.8398 - val_loss: 1.0098 - val_accuracy: 0.7978
Epoch 7/10
513/513 [==============================] - 7853s 15s/step - loss: 0.4388 - accuracy: 0.8587 - val_loss: 1.2073 - val_accuracy: 0.8019
Epoch 8/10
513/513 [==============================] - 7878s 15s/step - loss: 0.3880 - accuracy: 0.8720 - val_loss: 0.7735 - val_accuracy: 0.8019
Epoch 9/10
513/513 [==============================] - 7912s 15s/step - loss: 0.3570 - accuracy: 0.8798 - val_loss: 1.9094 - val_accuracy: 0.8029
Epoch 10/10
513/513 [==============================] - 7860s 15s/step - loss: 0.3644 - accuracy: 0.8834 - val_loss: 0.3149 - val_accuracy: 0.7927
[[9.99999285e-01 1.24713218e-09 1.21711235e-11 ... 7.27220645e-11
  1.69219196e-12 6.47285231e-13]
 [9.99998331e-01 1.70468917e-11 3.36489413e-11 ... 1.03902797e-09
  5.34060296e-12 8.06163209e-12]
 [9.99997973e-01 6.05199710e-11 5.46886668e-12 ... 1.47345905e-12
  4.67895139e-14 3.54222213e-13]
 ...
 [1.21333855e-04 1.86441484e-05 7.03612750e-05 ... 6.04617118e-04
  2.08352518e-04 1.49834098e-03]
 [1.11407443e-08 4.67927705e-08 1.48926593e-10 ... 1.21531045e-07
  5.04938498e-07 9.99904275e-01]
 [4.22374917e-08 4.28145128e-08 1.86213059e-11 ... 9.51777546e-10
  8.13209681e-07 9.99977112e-01]]
[  0   0   0 ...  31 119 119]
          68       0.76      0.88      0.81        32
          69       0.83      0.77      0.80        31
          70       0.84      0.87      0.85        30
          71       0.82      0.90      0.86        30
          72       1.00      0.94      0.97        31
          73       0.91      1.00      0.95        30
          74       0.94      0.97      0.95        30
          75       0.49      0.94      0.64        31
          76       0.54      0.97      0.69        31
          77       1.00      0.94      0.97        31
          78       0.96      0.74      0.83        34
          79       0.78      0.88      0.82        32
          80       0.67      0.32      0.43        31
          81       0.57      0.97      0.72        30
          82       0.86      0.60      0.71        30
          83       0.77      0.97      0.86        31
          84       0.74      0.94      0.83        31
          85       1.00      0.50      0.67        30
          86       0.82      0.73      0.77        37
          87       0.86      0.56      0.68        34
          88       0.85      0.93      0.89        44
          89       0.90      0.29      0.44        31
          90       0.57      0.95      0.72        41
          91       0.88      0.94      0.91        31
          92       0.76      0.91      0.83        32
          93       0.69      0.81      0.75        31
          94       1.00      0.97      0.98        32
          95       0.93      0.88      0.90        32
          96       1.00      0.94      0.97        34
          97       0.50      0.30      0.37        30
          98       0.63      0.94      0.76        36
          99       0.54      0.36      0.43        39
         100       0.85      0.73      0.79        30
         101       0.95      0.90      0.93        42
         102       1.00      0.80      0.89        40
         103       0.93      0.98      0.95        42
         104       0.89      0.41      0.56        39
         105       0.94      0.67      0.78        43
         106       1.00      0.80      0.89        44
         107       0.96      0.98      0.97        44
         108       0.98      1.00      0.99        40
         109       0.97      1.00      0.98        32
         110       0.81      0.97      0.88        31
         111       0.87      0.89      0.88        37
         112       0.81      0.81      0.81        31
         113       0.55      0.77      0.64        31
         114       0.35      0.35      0.35        31
         115       1.00      0.16      0.27        32
         116       1.00      0.81      0.89        31
         117       0.95      0.62      0.75        32
         118       1.00      0.83      0.91        30
         119       0.97      0.88      0.92        34

   accuracy                           0.79      4162
   macro avg       0.82      0.79      0.78      4162
weighted avg       0.82      0.79      0.79      4162

./split/val\n02100735-English_setter\n02100735_2051.jpg
0.9557724   :   (64, 'n02101388-Brittany_spaniel')
0.041875333   :   (61, 'n02100735-English_setter')
0.0014769153   :   (66, 'n02102040-English_springer')
